JOB_TITLE,WORKSITE_STATE,PW_WAGE_LEVEL,PREVAILING_WAGE
PRINCIPAL SOFTWARE ENGINEER,CA,Level IV,"169,749.00"
SOFTWARE ENGINEER,MN,Level II,"78,395.00"
ASSISTANT PROFESSOR,WI,Level I,"49,640.00"
ARCHITECTURAL GRADUATE,IL,Level I,"49,026.00"
SOFTWARE ENGINEER,CT,Level I,"69,680.00"
POST-DOCTORAL RESEARCH ASSOCIATE,MO,Level I,"39,520.00"
BILINGUAL TEACHER,TX,Level I,"42,050.00"
ENGINEER-SOFTWARE DEVELOPMENT I,CA,Level II,"96,866.00"
SOFTWARE ENGINEER,MN,Level II,"78,395.00"
SOFTWARE ENGINEER,MN,Level II,"78,395.00"
SOFTWARE ENGINEER,MN,Level II,"78,395.00"
QUALITY ASSURANCE TEST ENGINEER,MN,Level II,"63,856.00"
QUALITY ASSURANCE TEST ENGINEER,MN,Level II,"63,856.00"
BUSINESS ANALYST,MN,Level I,"52,790.00"
DATABASE ADMINISTRATOR,MN,Level I,"60,757.00"
SOFTWARE ENGINEER,MN,Level II,"78,395.00"
TECHNICAL CONSULTANT,MN,Level II,"78,395.00"
QUALITY ASSURANCE TESTER,MN,Level I,"49,982.00"
DATABASE ADMINISTRATOR,MN,Level II,"76,149.00"
DATABASE ADMINISTRATOR,MN,Level I,"60,757.00"
SOFTWARE ENGINEER,MN,Level II,"78,395.00"
SOFTWARE ENGINEER,MN,Level II,"78,395.00"
QUALITY ASSURANCE TESTER,MN,Level I,"49,982.00"
DATABASE ADMINISTRATOR,MN,Level II,"76,149.00"
NUTRITION SPECIALIST,MO,Level III,"30,742.00"
NIGHT HOSPITALIST,MA,Level II,"174,387.00"
DATABASE SOFTWARE DEVELOPER,TX,Level II,"79,830.00"
SOFTWARE ENGINEER III,TX,Level II,"79,830.00"
DATA SCIENTIST,CA,Level III,"133,078.00"
R&D STAFF MEMBER- CHEM & PHYS DEGRADATIONS IN CONCRETE,TN,Level III,"71,323.00"
ASSISTANT PROFESSOR (CHS),WI,Level II,"66,543.00"
SR. RESEARCH ASSISTANT,TX,Level III,"39,645.00"
ASSISTANT PROFESSOR,SC,Level I,"40,180.00"
PROFESSOR OF PRACTICE,NE,Level I,"56,480.00"
RESEARCH ASSOCIATE,CO,Level I,"40,248.00"
SR. BUSINESS APPLICATIONS ANALYSTS,CA,Level III,"102,294.00"
IT BUSINESS ANALYST,CA,Level IV,"97,365.00"
SOFTWARE ENGINEER,CA,Level II,"124,675.00"
ASSOCIATE,NY,Level II,"90,813.00"
POSTDOCTORAL FELLOW,MA,Level I,"41,392.00"
SOFTWARE ENGINEER II,CT,Level III,"106,059.00"
BUSINESS/DATA ANALYST,MD,Level II,"75,421.00"
SENIOR CONSULTANT - MODEL RISK,IL,Level II,"73,757.00"
ASSOCIATE,NY,Level II,"90,813.00"
POST-DOCTORAL RESEARCH ASSOCIATE,NE,Level I,"41,496.00"
ASSISTANT PROFESSOR,FL,Level I,"38,590.00"
SOFTWARE QUALITY ASSURANCE ENGINEER,CA,Level III,"124,093.00"
GENESYS ENGINEER,PA,Level II,"74,963.00"
GENESYS QUALITY ENGINEER,CA,Level I,"102,149.00"
GENESYS QUALITY ENGINEER,CA,Level II,"95,306.00"
GENESYS QUALITY ANALYST,CA,Level II,"94,619.00"
FINANCIAL ANALYST - CAPITAL MARKET,CA,Level III,"92,997.00"
SCIENTIST,IN,Level I,"72,530.00"
UNIVERSITY POSTDOCTORAL FELLOW,CT,Level I,"41,579.00"
VISITING POST DOCTORAL ASSOCIATE,FL,Level II,"43,992.00"
PERFORMANCE TEST ENGINEER,UT,Level IV,"93,330.00"
SR. MANAGER OF PLANNING,NY,Level II,"119,122.00"
"MANAGER, MARKETING ANALYTICS",IL,Level III,"63,794.00"
STAFF SCIENTIST,PA,Level II,"54,413.00"
QUANTITATIVE ANALYST,NY,Level IV,"115,502.00"
