State,2018-08
NY,2400.0
CA,2330.0
IL,1600.0
TX,1316.0
PA,1490.0
AZ,1020.5
NV,1025.0
TX,965.0
CA,2016.0
TX,1370.0
CA,2577.5
FL,1180.0
CA,3495.0
IN,795.0
TX,1210.5
TX,1320.0
MI,650.0
OH,905.0
TN,750.0
NC,1279.0
TX,600.0
MA,2175.0
WA,2073.0
MD,1425.0
CO,1646.5
DC,2300.0
TN,1615.0
WI,795.0
AZ,635.0
OR,1580.0
OK,660.0
NE,850.0
NM,745.0
CA,795.0
CA,1375.0
AZ,897.0
CA,1595.0
MO,980.0
VA,1184.5
CO,1174.5
GA,1575.0
FL,2032.0
CA,2295.0
OK,565.0
HI,1712.5
MN,1467.5
LA,985.0
LA,1275.0
TX,970.0
NC,1075.0
KS,631.0
FL,1588.0
CA,2226.0
CA,1915.0
CO,1320.0
MO,875.0
TX,1053.0
PA,1045.0
CA,1475.0
GA,1000.0
AK,925.0
CA,680.0
MN,1260.0
OH,490.0
MD,1670.0
KY,775.0
NJ,1099.5
CA,950.0
TX,1170.0
NY,900.0
AZ,1065.0
KY,914.0
NV,1059.0
CA,1119.0
AL,598.0
NJ,2400.0
TX,620.0
NC,1052.0
FL,1350.0
VA,1187.5
FL,1190.0
FL,762.5
IN,520.0
NC,689.5
NE,839.5
CA,925.0
CA,1691.0
CA,1830.5
VA,1125.0
FL,1215.0
WI,1102.5
TX,1099.0
FL,963.0
TN,786.5
TX,880.0
NV,984.0
GA,1122.0
CA,2324.0
NC,754.0
MO,535.0
VA,2050.0
TX,1277.0
AZ,1160.0
AZ,1308.0
NY,750.0
NC,695.0
CA,2000.0
VA,1049.0
FL,1800.0
FL,1087.0
CA,1885.0
WA,1200.0
MI,935.0
CA,1645.0
FL,850.0
CA,1847.5
ID,977.0
SC,1063.5
AL,993.0
CA,2187.5
OH,540.0
IL,550.0
CA,1579.5
CA,1280.0
AR,693.0
FL,1100.0
RI,1485.0
TX,500.0
CO,1296.5
LA,595.0
IN,495.0
NY,1550.0
CA,1883.0
FL,1552.5
TN,892.5
GA,575.0
IL,1249.0
CA,1579.0
TX,1024.0
CA,1707.5
KS,976.0
VA,947.0
CA,1590.0
TX,465.0
VA,770.0
SD,740.0
AZ,1099.0
CA,1436.5
KS,500.0
VA,1230.0
FL,1390.0
IL,1320.0
AZ,1115.0
VA,1689.5
CA,1820.0
CA,1385.0
KS,853.0
FL,1422.5
NY,750.0
OR,875.0
FL,1500.0
NJ,1098.0
CO,1425.0
VA,1680.0
OH,475.0
AZ,665.0
CA,2565.0
SC,1396.0
CT,1087.5
CA,1594.0
DE,956.0
TX,1080.0
VA,933.0
CA,2310.0
CA,1685.0
SC,842.0
TX,887.5
TX,851.0
CA,1887.0
TX,1059.0
WA,1441.0
LA,795.0
CA,1550.0
CA,2161.5
CT,1250.0
TX,575.0
WA,2077.5
IN,775.0
KS,779.0
FL,1550.0
FL,1200.0
CT,850.0
CT,2135.0
CA,1803.5
CA,1712.5
TX,1270.0
TX,1025.0
MT,625.0
PA,960.0
NY,1185.0
CA,1522.0
CA,2661.0
NC,1204.0
TX,1054.5
TX,1055.0
CA,2450.0
CA,825.0
OK,675.0
VA,1645.0
IL,594.0
TX,908.0
CA,1450.0
CO,1305.0
MD,1295.0
CO,1479.0
MI,625.0
CT,750.0
CA,1570.0
CA,2146.0
NH,1099.5
CA,1710.0
MN,850.0
CA,1650.0
CA,1450.0
IL,625.0
MI,1393.0
MA,1350.0
MA,2500.0
CA,1475.0
CA,1865.0
WA,1280.5
SC,854.5
OR,1250.0
AL,750.0
FL,1055.0
VA,1590.0
NC,999.0
FL,1250.0
IA,614.5
CO,650.0
ND,645.0
CA,1759.0
CA,1991.0
TX,1006.5
OR,1295.0
FL,1500.0
MO,520.0
PA,545.0
IA,595.0
GA,972.5
CA,1858.0
CA,2947.0
CA,2411.5
CA,1833.0
GA,1219.0
NY,940.0
TX,1280.0
VA,1099.0
TX,715.0
MD,1324.0
GA,1235.0
FL,1565.0
PA,1390.0
MD,1641.0
MA,1895.0
KS,680.0
CA,1810.0
FL,1168.0
IN,625.0
CO,1522.0
OK,557.5
MD,1690.0
CO,1455.0
WA,1215.0
OR,1400.0
IL,645.0
PA,1395.0
IL,912.5
CA,2978.5
IN,497.0
FL,1429.0
WY,650.0
VA,597.5
GA,940.0
IN,535.0
TX,860.0
FL,1794.0
NC,1045.0
TX,1075.0
TN,1340.0
VA,1649.0
NJ,862.5
NH,1339.0
OK,771.0
MA,1400.0
PA,650.0
MD,1552.0
CO,1695.0
CT,1775.0
NY,950.0
FL,1151.0
MD,1348.5
CA,1995.0
CA,1395.0
VA,1130.0
WA,947.5
MI,1086.0
CA,1995.0
UT,725.0
CA,1600.0
VA,1536.0
WA,1325.0
CO,1259.0
VA,1573.5
MA,1865.0
CT,1595.0
CA,1057.5
CO,1393.0
MD,1135.0
VA,1667.5
GA,1247.5
CO,1396.0
GA,995.0
RI,975.0
FL,1116.0
CA,1945.0
IL,575.0
CA,2575.5
FL,1185.0
CA,1319.5
CA,2055.0
CA,1449.0
IA,725.0
IL,1346.0
TX,1024.0
PA,960.0
IL,1275.0
TX,1095.0
WA,1890.0
MA,2100.0
CT,875.0
FL,980.0
CA,1421.0
SC,1100.0
TX,1093.0
RI,850.0
CA,1492.5
FL,1135.0
WA,1453.5
CA,1777.5
DE,1243.0
CA,1995.0
NY,1700.0
CA,1717.5
FL,1085.0
SC,1385.0
CA,2265.0
GA,1185.0
OR,1125.0
NC,475.0
MA,1572.5
FL,1000.0
WA,1898.0
CA,2350.0
ND,700.0
NC,935.0
VA,1475.0
CA,1815.0
IL,1300.5
MD,1325.0
MN,1285.5
MD,1464.0
WY,597.0
CA,2464.0
CA,2700.0
ME,1450.0
NJ,1395.0
TX,1019.0
TX,1245.0
IN,625.0
IA,497.5
VA,1810.0
NJ,1150.0
CA,1776.0
KS,600.0
CA,2197.5
FL,810.0
LA,900.0
OR,825.0
NY,1500.0
MD,2200.0
OH,495.0
TX,1197.5
CT,1395.0
VA,1108.0
CA,1944.0
TX,875.0
MN,1403.0
MN,1079.0
IN,995.0
MN,1300.0
CT,1235.0
TN,1019.5
FL,1150.0
CT,850.0
VA,2057.5
MD,937.0
PA,795.0
MA,1950.0
MA,1496.5
NE,792.0
WA,1106.0
FL,1545.0
FL,1450.0
MA,1650.0
MI,990.0
CA,2290.0
MD,1522.0
SC,1012.0
CA,1815.0
IA,1029.0
NJ,1325.0
NY,845.0
NY,2300.0
MA,1995.0
PA,1169.0
ND,585.0
SC,1015.0
FL,1250.0
FL,1079.0
FL,1224.5
IL,1260.0
CO,1508.5
FL,1353.0
FL,1500.0
CT,1050.0
MD,1820.0
FL,1345.0
MT,750.0
CA,1752.5
NJ,1417.0
NJ,1875.0
NJ,1497.5
WA,1880.0
NJ,1700.0
MA,1848.0
NJ,1002.0
VA,909.0
IL,609.0
NJ,2300.0
TX,1162.0
MA,2225.0
MD,1333.0
FL,1271.0
CT,1475.0
CT,1606.0
PA,822.5
MN,1575.0
OR,1265.5
CT,1050.0
KS,816.5
MA,1837.5
ND,495.0
VA,1894.0
NC,1060.0
OH,750.0
GA,1220.0
NJ,1990.0
NC,1069.0
NC,1040.0
TX,890.0
CA,1897.0
MD,1245.0
