TITLE,STATE,LEVEL,WAGE
Software Engineer/Developer,CA,Level IV,"169,749.00"
Software Engineer/Developer,MN,Level II,"78,395.00"
Assistant Professor,WI,Level I,"49,640.00"
Architect,IL,Level I,"49,026.00"
Software Engineer/Developer,CT,Level I,"69,680.00"
Research Associate,MO,Level I,"39,520.00"
Software Engineer/Developer,CA,Level II,"96,866.00"
Software Engineer/Developer,MN,Level II,"78,395.00"
Software Engineer/Developer,MN,Level II,"78,395.00"
Software Engineer/Developer,MN,Level II,"78,395.00"
Analyst,MN,Level I,"52,790.00"
Software Engineer/Developer,MN,Level II,"78,395.00"
Technical Lead,MN,Level II,"78,395.00"
Software Engineer/Developer,MN,Level II,"78,395.00"
Software Engineer/Developer,MN,Level II,"78,395.00"
Software Engineer/Developer,TX,Level II,"79,830.00"
Software Engineer/Developer,TX,Level II,"79,830.00"
Assistant Professor,WI,Level II,"66,543.00"
Research Associate,TX,Level III,"39,645.00"
Assistant Professor,SC,Level I,"40,180.00"
Research Associate,CO,Level I,"40,248.00"
Analyst,CA,Level IV,"97,365.00"
Software Engineer/Developer,CA,Level II,"124,675.00"
Associate,NY,Level II,"90,813.00"
Postdoctoral Fellow,MA,Level I,"41,392.00"
Software Engineer/Developer,CT,Level III,"106,059.00"
Analyst,MD,Level II,"75,421.00"
Consultant,IL,Level II,"73,757.00"
Associate,NY,Level II,"90,813.00"
Research Associate,NE,Level I,"41,496.00"
Assistant Professor,FL,Level I,"38,590.00"
Software Engineer/Developer,CA,Level III,"124,093.00"
Postdoctoral Fellow,CT,Level I,"41,579.00"
Postdoctoral Fellow,FL,Level II,"43,992.00"
Analyst,NY,Level IV,"115,502.00"
Analyst,TN,Level II,"60,445.00"
Software Engineer/Developer,IL,Level II,"83,366.00"
Assistant Professor,TX,Level IV,"118,810.00"
Research Associate,NY,Level II,"50,731.00"
Software Engineer/Developer,NY,Level I,"75,130.00"
Software Engineer/Developer,MN,Level II,"78,624.00"
Software Engineer/Developer,MN,Level II,"78,624.00"
Software Engineer/Developer,CA,Level II,"110,864.00"
Software Engineer/Developer,IL,Level II,"83,366.00"
Consultant,NC,Level II,"62,462.00"
Software Engineer/Developer,VA,Level II,"92,019.00"
Software Engineer/Developer,VA,Level II,"92,019.00"
Consultant,IN,Level II,"71,240.00"
Consultant,TX,Level II,"90,002.00"
Software Engineer/Developer,CT,Level II,"87,984.00"
Software Engineer/Developer,MI,Level II,"78,874.00"
Software Engineer/Developer,IL,Level II,"83,366.00"
Software Engineer/Developer,MO,Level II,"83,470.00"
Software Engineer/Developer,MN,Level II,"78,624.00"
Software Engineer/Developer,IL,Level II,"79,206.00"
Software Engineer/Developer,MN,Level II,"78,624.00"
Consultant,OR,Level II,"85,176.00"
Software Engineer/Developer,IL,Level II,"83,366.00"
Software Engineer/Developer,IL,Level II,"83,366.00"
Software Engineer/Developer,IL,Level II,"83,366.00"
Consultant,IN,Level II,"71,240.00"
Assistant Professor,NC,Level III,"137,357.00"
Manager,TX,Level I,"49,770.00"
Software Engineer/Developer,MN,Level II,"78,624.00"
Software Engineer/Developer,IL,Level II,"79,206.00"
Consultant,OR,Level II,"85,176.00"
