"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"New York","NY","New York, NY","Queens",1,,,,2250,2350,2250,2332.5,2500,2550,2497,2424,2200,2200,2400,2500,2500,2345,2300,2400,2300,2350,2425,2400,2400,2450,2495,2500,2500,2500,2500,2550,2595,2600,2600,2600,2595,2650,2602,2650,2697,2700,2635,2650,2700,2700,2650,2600,2600,2600,2600,2600,2650,2635,2300,2250,2285,2250,2250,2200,2200,2250,2295,2350,2350,2300,2200,2300,2300,2250,2200,2200,2199,2200,2200,2255,2300,2350,2315,2310.5,2399,2500,2400,2200,2250,2300,2300,2350,2350,2383,2375.5,2400,2400,2350,2300,2295,2295,2300,2300,2395,2400,2400,2395,2400
"Los Angeles","CA","Los Angeles, CA","Los Angeles",2,,,,,,,,,1275,1285,1355,1297.5,1338,1350,1350,1375,1392.5,1350,1305,1290,1250,1250,1200,1275,1350,1399,1395,1425,1400,1395,1395,1450,1515,1524.5,1440,1450,1575,1588,1550,1550,1550,1475,1450,1495,1502.5,1365.5,1525,1495,1490,1450,1495,1581,1598.5,1650,1695,1700,1750,1730,1770,1755,1795,1795,1750,1795,1807,1800.5,1800,1840,1850,1853,1848,1993,2000,2023,2025,2018,1995,1964,1945,1995,1928.5,1935.5,1850,1965,2014.5,2098.5,2071,2072.5,2099,2150,2101,2117,2110,2095,2095,2060,2099,2100,1995,2110,2218,2259,2330
"Chicago","IL","Chicago, IL","Cook",3,,,,,,,,,1352.5,1353.5,1395,1225,1275,1250,1277,1299,1375,1343,1300,1325,1326,1345,1380,1395,1340,1275,1250,1325,1395,1400,1400,1465,1500,1477,1500,1500,1600,1500,1550,1581.5,1600,1586,1593,1568.5,1545,1588,1643,1620,1545,1509,1495,1495,1540,1637,1520,1672.5,1700,1650,1495,1600,1658,1502,1501,1517,1500,1480,1490,1645,1724,1802,1720,1675,1737,1595,1545,1529,1500,1480,1490,1498,1500,1550,1550,1525,1500,1495,1495,1495,1495,1495,1510,1595,1605,1630,1595,1595,1592.5,1595,1595,1595,1593,1600,1600
"Houston","TX","Houston, TX","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1120,1225,1125,1074.5,1105.5,1214,1215.5,1235,1200,1230,1245,1185,1199,1190,1200,1200,1229,1238,1234,1237,1229,1241,1249,1360,1359,1375,1296,1329,1305,1299,1294,1250,1200,1240,1187,1145,1175,1212,1249,1268,1275,1275,1250,1245,1257,1265,1270,1293.5,1300,1300,1341,1349,1349,1331,1335,1320,1316
"Philadelphia","PA","Philadelphia, PA","Philadelphia",5,,,,,,,,,1210,1250,1291,1294,1290,1250,1250,1197.5,1170,1100,1050,1050,995,995,987.5,975,1100,1155,1250,1200,1235,1200,1185,1108.5,1150,1118,1075,1050,1200,1150,1150,1225,1102.5,1150,1100,1220,1200,1250,1250,1050,1075,1050,1100,1295,1295,1250,1250,1195,1195,1150,1110,1100,1100,1200,1280,1250,1243.5,1195,1205,1180,1175,1250,1200,1222.5,1200,1275,1299,1350,1299,1297,1300,1279,1325,1295,1350,1295,1350,1375,1395,1425,1395,1395,1400,1395,1350,1359.5,1355,1355,1361,1475,1490,1495,1475,1495,1490
"Phoenix","AZ","Phoenix, AZ","Maricopa",6,,,,,,,,580,585,571,550,619.5,629,648,650,595,597,599,625,647,625,620,595,595,640,665,650,650,665,675,690,700,701,695,680,670,669,670,666,664.5,657,661,655,660,650,644,650,700,699,690,700,676.5,695,680,700,699,700,685,700,700,723,749,742.5,743,750,750,755,775,780,825,892,875,868.5,899,858,850,950,850,870,875,858,826.5,817.5,900,975.5,1145,1175,1095,1085,995,970,968.5,950,949,940,941,960,974,992,980,993.5,1000,1020.5
"Las Vegas","NV","Las Vegas, NV","Clark",7,,,,,,,,,630.5,627.5,625,650,650,650,750,850,795,700,700,700,650,625,649.5,615,635,646,600,600,630,625,625,645,650,650,625,625,625,645,650,685,700,700,675,650,650,670,700,680,675,675,695,700,699.5,725,725,750,750,759.5,779,775,795.5,795,780,785,799.5,809,813.5,795,786,823,879,860,847,876,852.5,847.5,880,825,873,850,844,845,859,850,915,917,935,905,904.5,920,935,895,885,874,850,850,900,940,950,960,985,1010,1025
"San Antonio","TX","San Antonio, TX","Bexar",8,,,,,,,,,,,,652.5,595,595,595,595,600,640,647,650,639,670,675,686,715,735,695,685,680,679,730,725,708,715,695,711,714,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,797,786,788,780,775,780,789,785,790,777,770,775,775,785,795,795,800,850,850,825,820,849,825,800,820,804.5,820,835,790,802,775,810,835,840,850,909,900,886,885,899,900,892,899,898,954,936,926,945.5,960.5,950,965
"San Diego","CA","San Diego, CA","San Diego",9,,,,,,,,,,,,,1350,1300,1300,1250,1250,1350,1400,1462.5,1450,1300,1300,1350,1320,1362,1295,1295,1335,1302.5,1305,1350,1330,1341,1350,1345,1350,1355,1350,1345,1335,1300,1350,1375,1325,1250,1400,1450,1395,1380,1450,1624,1600,1595,1650,1615,1650,1679,1649.5,1690,1710,1650,1695,1695,1700,1735,1785,1797.5,1773,1750,1755,1750,1750,1760,1750,1695,1697.5,1850,1725,1822,1695,1715,1673,1750,1790.5,1801,1836,1875,1855,1892,1853,1872,1856.5,1820,1800,1826.5,1875,1871,2000,2037,2065,2035,2016
"Dallas","TX","Dallas, TX","Dallas",10,,,,,,,,,,,,,,1012,990,965,990,966,880,889,833,790,899,870,865,945,875,990,1015.5,975,970,1049,1025,1050,1085,1150,1060,1083,1084,1027,1097,1100,1051,1095,1112,1150,1159,1180,1144,1136,1164,1150,1178,1147,1114,1120,1150,1199,1199.5,1160,1127,1119,1153,1149.5,1167,1199,1200,1231.5,1200,1195,1195,1205.5,1255,1275.5,1250,1247,1267,1270,1240,1312,1275,1250,1204.5,1300,1293.5,1309,1306,1310,1319,1325,1350,1330,1310,1349,1325,1325,1374,1345,1334,1350,1363,1369,1370
